GRE,TOEFL,UnivRating,SOP,LOR,CGPA,Research,Chance,High_Chance
337.0,118.0,4,4.5,4.5,9.65,1,0.92,1
324.0,107.0,4,4.0,4.5,8.87,1,0.76,0
316.0,104.0,3,3.0,3.5,8.0,1,0.72,0
322.0,110.0,3,3.5,2.5,8.67,1,0.8,0
314.0,103.0,2,2.0,3.0,8.21,0,0.65,0
330.0,115.0,5,4.5,3.0,9.34,1,0.9,1
321.0,109.0,3,3.0,4.0,8.2,1,0.75,0
308.0,101.0,2,3.0,4.0,7.9,0,0.68,0
302.0,102.0,1,2.0,1.5,8.0,0,0.5,0
323.0,108.0,3,3.5,3.0,8.6,0,0.45,0
325.0,106.0,3,3.5,4.0,8.4,1,0.52,0
327.0,111.0,4,4.0,4.5,9.0,1,0.84,1
328.0,112.0,4,4.0,4.5,9.1,1,0.78,0
307.0,109.0,3,4.0,3.0,8.0,1,0.62,0
311.0,104.0,3,3.5,2.0,8.2,1,0.61,0
314.0,105.0,3,3.5,2.5,8.3,0,0.54,0
317.0,107.0,3,4.0,3.0,8.7,0,0.66,0
319.0,106.0,3,4.0,3.0,8.0,1,0.65,0
318.0,110.0,3,4.0,3.0,8.8,0,0.63,0
303.0,102.0,3,3.5,3.0,8.5,0,0.62,0
312.0,107.0,3,3.0,2.0,7.9,1,0.64,0
325.0,114.0,4,3.0,2.0,8.4,0,0.7,0
328.0,116.0,5,5.0,5.0,9.5,1,0.94,1
334.0,119.0,5,5.0,4.5,9.7,1,0.95,1
322.0,109.0,5,4.5,3.5,8.8,0,0.76,0
298.0,98.0,2,1.5,2.5,7.5,1,0.44,0
295.0,93.0,1,2.0,2.0,7.2,0,0.46,0
310.0,99.0,2,1.5,2.0,7.3,0,0.54,0
300.0,97.0,2,3.0,3.0,8.1,1,0.65,0
327.0,103.0,3,4.0,4.0,8.3,1,0.74,0
338.0,118.0,4,3.0,4.5,9.4,1,0.91,1
320.0,110.0,5,5.0,5.0,9.2,1,0.88,1
299.0,106.0,2,4.0,4.0,8.4,0,0.64,0
300.0,105.0,1,1.0,2.0,7.8,0,0.58,0
304.0,105.0,1,3.0,1.5,7.5,0,0.52,0
307.0,108.0,2,4.0,3.5,7.7,0,0.48,0
308.0,110.0,3,3.5,3.0,8.0,1,0.46,0
316.0,105.0,2,2.5,2.5,8.2,1,0.49,0
313.0,107.0,2,2.5,2.0,8.5,1,0.53,0
332.0,117.0,4,4.5,4.0,9.1,0,0.87,1
326.0,113.0,5,4.5,4.0,9.4,1,0.91,1
322.0,110.0,5,5.0,4.0,9.1,1,0.88,1
329.0,114.0,5,4.0,5.0,9.3,1,0.86,1
339.0,119.0,5,4.5,4.0,9.7,0,0.89,1
321.0,110.0,3,3.5,5.0,8.85,1,0.82,1
327.0,111.0,4,3.0,4.0,8.4,1,0.78,0
313.0,98.0,3,2.5,4.5,8.3,1,0.76,0
312.0,100.0,2,1.5,3.5,7.9,1,0.56,0
334.0,116.0,4,4.0,3.0,8.0,1,0.78,0
324.0,112.0,4,4.0,2.5,8.1,1,0.72,0
322.0,110.0,3,3.0,3.5,8.0,0,0.7,0
320.0,103.0,3,3.0,3.0,7.7,0,0.64,0
